SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,EPSJB,EPSKCJB,EPSXS,BPS,MGZBGJ,MGWFPLR,MGJYXJJE,TOTALOPERATEREVE,MLR,PARENTNETPROFIT,KCFJCXSYJLR,TOTALOPERATEREVETZ,PARENTNETPROFITTZ,KCFJCXSYJLRTZ,YYZSRGDHBZC,NETPROFITRPHBZC,KFJLRGDHBZC,ROEJQ,ROEKCJQ,ZZCJLL,XSJLL,XSMLL,YSZKYYSR,XSJXLYYSR,JYXJLYYSR,TAXRATE,LD,SD,XJLLB,ZCFZL,QYCS,CQBL,ZZCZZTS,CHZZTS,YSZKZZTS,TOAZZL,CHZZL,YSZKZZL,TOTALDEPOSITS,GROSSLOANS,LTDRR,NEWCAPITALADER,HXYJBCZL,NONPERLOAN,BLDKBBL,NZBJE,TOTAL_ROI,NET_ROI,EARNED_PREMIUM,COMPENSATE_EXPENSE,SURRENDER_RATE_LIFE,SOLVENCY_AR,JZB,JZC,JZBJZC,ZYGPGMJZC,ZYGDSYLZQJZB,YYFXZB,JJYWFXZB,ZQZYYWFXZB,ZQCXYWFXZB,RZRQYWFXZB,EPSJBTZ,BPSTZ,MGZBGJTZ,MGWFPLRTZ,MGJYXJJETZ,ROEJQTZ,ZZCJLLTZ,ZCFZLTZ,REPORT_YEAR,ROIC,ROICTZ,NBV_LIFE,NBV_RATE,NHJZ_CURRENT_AMT,DJD_TOI_YOY,DJD_DPNP_YOY,DJD_DEDUCTDPNP_YOY,DJD_TOI_QOQ,DJD_DPNP_QOQ,DJD_DEDUCTDPNP_QOQ,XSMLL_TB,PER_TOI,PER_OI,PER_EBIT,STAFF_NUM,AVG_TOI,AVG_NET_PROFIT,PREPAID_ACCOUNTS_RATIO,ACCOUNTS_PAYABLE_TR,FIXED_ASSET_TR,CURRENT_ASSET_TR,PREPAID_ACCOUNTS_TDAYS,PAYABLE_TDAYS,OPERATE_CYCLE,GUARD_SPEED_RATIO,CASH_RATIO,INTEREST_COVERAGE_RATIO,CA_TA,NCA_TA,LIQUIDATION_RATIO,INTEREST_DEBT_RATIO,FC_LIABILITIES,FCFF_FORWARD,FCFF_BACK,SS_OI,SS_TA,NCO_OP,NCO_NETPROFIT,NCO_FIXED,FIRST_ADEQUACY_RATIO,NET_INTEREST_SPREAD,NET_INTEREST_MARGIN,LOAN_ADVANCES,NON_PERFORMING_LOAN,OVERDUE_LOANS,LOAN_PROVISION_RATIO,REVENUE_RATIO,LIABILITY,CAPITAL_PROVISIONS_SUM,RISK_COVERAGE,CAPITAL_LEVERAGE_RATIO,LIQUIDITY_COVERAGE_RATIO,NET_FUNDING_RATIO,NET_CAPITAL_LIABILITIES,NET_ASSETS_LIABILITIES,PROPRIETARY_CAPITAL,IS_BZ
002714.SZ,002714,牧原股份,10182022,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-22 00:00:00,2026-04-22 00:00:00,CNY,-0.22,,-0.22,14.942398518137,4.076048019689,10.08379189282,-0.159357723418,29893668691.43,1546077232.76,-1214841304.35,-1141499294.73,-17.103041649084,-127.050001641392,-125.315049313906,-4.278726199557,-36.843652694672,-35.342339816965,-1.57,,-0.7004975702,-4.0883239353,5.1719220171,,0.100523552828,-0.030774786931,,0.913249625634,0.310397707216,-0.013970748012,50.7311648406,2.029680622172,1.029680622172,525.268280476163,122.034384507447,2.05252597495,0.171341014383,0.737497061695,43.848409763587,,,,,,,,,,,,,,,,,,,,,,,,,-126.506024096386,8.3603181902,61.314209988536,-2.954546906405,-111.597821565344,-125.9075907591,-129.253989695526,-14.304248574097,2026,-0.483570711305,-114.506399046344,,,,-17.103041649084,-127.050001641392,-125.315049313906,-7.607154402385,-271.591075926685,-321.643922306619,-73.877437706442,5.178190957895,5.178190957895,-0.099975704812,,,,35.299314353984,2.265500726968,0.299214905547,0.521188110046,2.5496245932,39.726316980904,124.086424737064,0.240453937626,0.224335971111,,33.9381940081,66.0618059919,195.565914827926,39.1640537747,21.670202483528,-14604003228.72,-14620118304.99,1.032060761,0.174112157168,0.964755875191,,-0.009275780775,,,,,,,,,89893899791.41,,,,,,,,,0
002714.SZ,002714,牧原股份,10182022,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-28 00:00:00,2026-03-28 00:00:00,CNY,2.88,2.97,2.84,14.035386218826,2.386811248164,10.878822548696,5.502003671795,144144965371.68,25683910046.31,15486891254.04,15988392483.9,4.493086579548,-13.390382815587,-14.714271213491,-5.764058520976,-30.173481538424,-30.484107722475,20.57,21.24,8.7992575638,10.9693859253,17.8181110801,,0.322555457052,0.208513608762,-0.0118896296,0.781442055689,0.249122065994,0.430355338851,54.1507623811,2.181061347872,1.181061347872,448.785469052829,120.263235867358,1.023760143562,0.802165009397,2.993433507785,351.644867466284,,,,,,,,,,,,,,,,,,,,,,,,,-12.727272727273,7.966581505,-5.031789717989,13.692161977039,-19.94215893963,-18.0478087649,-10.949102935034,-7.718724549701,2025,12.029420630673,-15.710234450955,,,,-21.414689640141,-90.432865879133,-93.157079441734,-8.413594381127,-83.337005213646,-89.262751000155,-14.141264561718,26.386784557953,26.386784557953,3.331490335,127550.0,1130105.56935853,121418.198777264,193.455206593048,7.740945674754,1.390116375427,2.487513444552,1.860895895954,46.505945801182,121.288342129422,0.210180988361,0.198510046396,11.755242998701,31.7781976309,68.2218023691,183.179909124754,40.9050344219,19.848681542787,17732510215.1248,15117175103.7579,1.032570255354,0.866652276168,1.779081423944,1.900868564406,0.29866800157,,,,,,,,,92999107770.76,,,,,,,,,0
002714.SZ,002714,牧原股份,10182022,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,2.74,,2.69,13.885478124,2.369941296782,10.79360975758,5.231693346792,111790004878.72,20934532843.96,14778904957.09,15473377552.36,15.515225864648,41.00570971054,37.901379021158,-2.908252177527,-19.588578807885,-19.427309335438,19.26,,8.2040894369,13.5183134093,18.7266588517,,0.369170446638,0.255653829504,-0.1036743487,0.788478380256,0.312947479037,0.372134394822,55.4981008,2.247095108247,1.247095108248,444.893324064689,116.626627028849,0.843281184326,0.606887056729,2.315080242638,320.177901533236,,,,,,,,,,,,,,,,,,,,,,,,,41.237113402062,6.5295367703,-18.670781972557,18.544403581497,-2.004334457378,25.390625,41.046584250567,-4.940838876889,2025,11.179590714068,27.545221385103,,,,-11.48052193921,-55.978547468882,-53.621295662395,-12.559586729798,-29.642576041206,-22.231264277,8.456060440818,20.463974104949,20.463974104949,3.109012153367,,,,180.623605964863,5.997174539751,1.074363395683,1.834533675468,1.494821225375,45.021200935601,117.468912910536,0.286157690151,0.276611870606,,33.5006108736,66.4993891264,178.857184137325,38.7595592496,24.785763357107,7245229400.08846,1801575862.85545,1.030125293228,0.637089572442,1.791961560466,1.891166610528,0.281979452241,,,,,,,,,100316102480.15,,,,,,,,,0
002714.SZ,002714,牧原股份,10182022,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-21 00:00:00,2025-08-21 00:00:00,CNY,1.96,1.98,1.91,14.173230571319,2.530501304499,10.931924051717,3.176193599047,76462752679.74,14541922506.16,10530051098.42,10676851630.8,34.461021791281,1169.76978464802,1115.31667194692,6.63849703977,11.436812406781,11.318229230103,13.79,13.99,5.7686110975,14.1117946218,19.0183089106,,0.359758766787,0.22691845809,-0.1875473004,0.793307937143,0.306771708143,0.215557444684,56.0568289677,2.275666449435,1.275666449436,440.335288509303,117.923526488454,0.669506393509,0.408779411274,1.526412967455,268.854788759417,,,,,,,,,,,,,,,,,,,,,,,,,1206.66666666667,22.8263995249,-20.474882358684,48.954020229234,12.183069737128,960.7692307692,989.232547822826,-9.304535038486,2025,7.762024868643,358.232623382185,,,,32.056729809558,88.235024364346,88.882009981282,12.035855810027,34.465109538402,36.780720582824,145.666763541547,13.997070250619,13.997070250619,2.218945254044,,,,120.605780319074,3.986610242901,0.726065254714,1.221702134597,1.49246578003,45.151140701685,118.594034667405,0.280452926703,0.273197834107,12.015419526742,34.2473316924,65.7526683076,177.097316235771,41.4584349107,25.20164429955,8765781091.29641,7130497533.83371,1.026965260118,0.421147178987,1.576519633619,1.608005673066,0.167042067284,,,,,,,,,104520219295.73,,,,,,,,,0
002714.SZ,002714,牧原股份,10182022,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2026-04-22 00:00:00,CNY,0.83,,0.82,13.789548395304,2.526775551874,10.390792738218,1.374031515489,36061237090.13,7139648246.39,4491095122.49,4509172708.2,37.260843450401,288.787798453605,288.918377782584,7.096344966036,38.420148733247,36.784884262934,6.06,,2.3945368734,12.8095911848,19.798678089,,0.362818347326,0.208146371081,-0.2238411963,0.796113040458,0.334046820923,0.081016554934,59.1991598142,2.450929920674,1.450929920672,481.455608152994,131.910773436366,0.575905931072,0.186933122132,0.682279374576,156.275521997959,,,,,,,,,,,,,,,,,,,,,,,,,288.636363636364,25.2737388063,-22.016328284164,53.88929407265,48.21178579589,256.9948186528,290.911910809885,-6.904305696271,2025,3.333499304409,412.693869037583,,,,37.260843450401,288.787798453605,288.918377782584,-12.412703786026,-39.311100269126,-40.08734749991,891.78930915068,6.601275383048,6.601275383048,0.972407285097,,,,59.600580108429,1.68944278,0.339175315176,0.533936712605,1.510052416206,53.272002500138,129.867674436216,0.258721283891,0.254390091965,,37.2194938927,62.7805061073,167.815389931194,42.8184168841,25.436327474272,-7492779049.7138,-2811138423.43751,1.036242434346,0.188565408575,1.610160548782,1.624925948676,0.070885474666,,,,,,,,,117315530970.58,,,,,,,,,0
002714.SZ,002714,牧原股份,10182022,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-20 00:00:00,2026-03-28 00:00:00,CNY,3.3,3.46,3.24,12.999750499816,2.513273906159,9.568665385124,6.872535655372,137946892076.87,28627873839.92,17881260485.27,18746855671.39,24.432605595238,519.424880483707,565.614294106039,10.652115819845,121.84864792507,110.404038626318,25.1,26.31,9.8811554446,13.7190803064,20.7528226326,,0.382457993966,0.272155940951,-0.1511709866,0.7173736882,0.226363501817,0.439220845665,58.6801191432,2.420142505894,1.420142505896,499.827063545147,138.14720888648,0.520668439915,0.720249114657,2.605915840803,691.418900017647,,,,,,,,,,,,,,,,,,,,,,,,,517.721518987342,14.9445292254,-22.358841572794,33.138376775416,279.677671525141,493.4169278997,560.351336902619,-5.523926322825,2024,14.27150799663,1938.99699826202,,,,47.61099926583,405.672874424836,425.7156103294,3.164074630767,-23.328216710802,-27.22702353142,567.647106288817,25.252197807439,25.252197807439,3.997322855267,133642.0,1032212.11951984,133799.707317086,206.379465172761,5.273971175148,1.260353804617,2.208892644707,1.744359593619,68.259758736717,135.762413058434,0.203905954225,0.198353081444,11.815402549803,32.6773345185,67.3226654815,169.246325205556,40.5438122786,19.831930795536,17895488441.2186,17679237349.8476,1.011777067689,0.74379137312,1.876163948809,1.983776863116,0.351687005425,,,,,,,,,110112494714.77,,,,,,,,,0
002714.SZ,002714,牧原股份,10182022,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-31 00:00:00,CNY,1.94,,1.91,13.034392662324,2.914009693272,9.105119627313,5.338698724911,96775125566.31,16709760196.41,10481068452.78,11220611180.39,16.640585510597,668.903090565041,754.040623607465,7.603570606286,1330.97514615454,2564.06108069755,15.36,,5.8165814369,11.6203947991,17.266585911,,0.409744761194,0.301501793783,-0.2882052694,0.748901039099,0.277790037777,0.344064256173,58.3826957279,2.402846646342,1.402846646344,539.4073185039,138.064253895532,0.438403227264,0.500549382142,1.955611191035,615.871378696317,,,,,,,,,,,,,,,,,,,,,,,,,670.588235294118,10.9572654938,-9.664501186296,18.644966842617,336.270074981495,673.1343283582,762.444224739643,-2.125545855508,2024,8.765197623761,2373.31241001201,,,,28.326124734336,930.19536950997,866.044536301114,30.446939844463,200.847215428304,216.721118600829,273.215772729637,17.707021434019,17.707021434019,2.462561225719,,,,157.260586268933,3.837018248387,0.881042013765,1.522911234309,1.716895545196,70.367139930466,138.503447188372,0.230436586697,0.227880754535,,33.2039080659,66.7960919341,170.175382725671,39.437427307,22.788075453524,-4287318978.58294,-6449685037.92626,1.018906224006,0.51552370714,2.408489436028,2.594591655402,0.271339179006,,,,,,,,,111669214394.0,,,,,,,,,0
002714.SZ,002714,牧原股份,10182022,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-03 00:00:00,2025-08-21 00:00:00,CNY,0.15,0.16,0.15,11.539238002695,3.182015166469,7.339126553881,2.831259303645,56866110089.83,4402293711.4,829288208.44,878524246.17,9.634151581321,129.83890830859,131.531912018057,2.588569279786,87.972845162042,92.993629759503,1.3,1.38,0.5296032614,1.8021097142,7.7415066802,,0.416439559917,0.272109878026,-1.9737837242,0.682654645312,0.246282675966,0.169103301263,61.8077530023,2.618332459099,1.618332459101,612.495753330323,140.430124994534,0.535644372685,0.293879588587,1.281776257103,336.043855175293,,,,,,,,,,,,,,,,,,,,,,,,,128.846153846154,-0.1272914764,-0.795819687422,-2.180885687416,1582.10717500592,133.4190231362,136.53838475767,2.912575391183,2024,1.693904901697,289.25199563588,,,,10.564929657711,302.90121765191,312.866338179267,16.450983507989,234.859982005485,236.807056675227,445.506963584161,10.404838384339,10.404838384339,0.467115345896,,,,119.74359527674,2.357680383654,0.514310422912,0.902284030533,1.503211921974,76.346226251851,140.9631680959,0.226810380099,0.222501110194,9.276968408987,32.6028293249,67.3971706751,160.751676739539,40.6034056023,22.250111019419,5589910252.81196,2001092612.67438,1.018538537362,0.302300930941,13.388572011431,15.099517852651,0.141981459116,,,,,,,,,118422563414.89,,,,,,,,,0
002714.SZ,002714,牧原股份,10182022,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-25 00:00:00,CNY,-0.44,,-0.44,11.007533204248,3.240134115615,6.752121907397,0.927073044907,26272049758.43,-656932153.419998,-2378911751.33,-2386836453.46,8.569810095538,-98.564622717603,-90.619436781273,1.870588899942,-27.698329683432,-28.182187973123,-3.86,,-1.2542626928,-9.3589480511,-2.5004982841,,0.42793596372,0.192858164977,,0.663277730116,0.261762338863,0.051725215946,63.58957872,2.74646643693,1.746466436926,671.554156429773,135.793061095368,0.452483644771,0.134017486361,0.662773187923,198.902216776354,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-13.105568685,-0.195552476219,-20.728156783332,231.581629551149,-131.1377245509,-104.275438152175,12.810805209796,2024,-1.06605841511,-227.224191945343,,,,8.569810095538,-98.564622717603,-90.619436781273,-5.808182493,1.73649685853,-3.295859325969,-232.795579159793,4.807019941409,4.807019941409,-0.301616731152,,,,50.196148735361,1.198631665797,0.235691300438,0.40872973934,1.792966238794,75.085618516641,136.24005157672,0.238503117109,0.235046953973,,33.0368991001,66.9631008999,156.28090271183,42.2858509419,23.504693406557,-7848789859.31,-4553030629.90001,1.022192786818,0.136552908665,-2.073202867954,,0.045734995968,,,,,,,,,125058081646.7,,,,,,,,,0
002714.SZ,002714,牧原股份,10182022,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-03-20 00:00:00,CNY,-0.79,-0.75,-0.79,11.309586099854,3.237038134246,7.187007695959,1.810097398608,110860727714.4,3445941722.03999,-4263280820.31,-4026262919.48,-11.18794219555,-132.136518337683,-130.901551094905,-12.722745230732,-143.013355042812,-140.207093594599,-6.38,-6.03,-2.1464378731,-3.7595540538,3.1083520676,,0.255965089131,0.089236441684,,0.671703401579,0.228736590952,0.104510006584,62.1110899927,2.6392947166,1.639294716598,630.551424904348,134.36563347347,0.559233526781,0.57092885018,2.679256523366,643.738228772476,,,,,,,,,,,,,,,,,,,,,,,,,-131.726907630522,-12.5439253819,0.468775384492,-17.700163437057,-56.95293484722,-130.3664921466,-126.606130189091,14.268711300648,2023,-0.7760484661,-106.127685872788,,,,-36.684721097226,-120.597080497454,-119.699904227369,-10.313960510972,-358.403419882213,-315.838400366332,-82.233568310846,20.284284810686,20.284284810686,-0.21600918055,131276.0,844485.874907828,-32475.7063005424,81.480097922378,4.415887803912,1.014700726346,1.75744641802,4.418256840375,81.523810383289,134.922686692522,0.21045855439,0.205477367209,3.053944019809,32.5390568932,67.4609431068,159.992811880195,40.3071742892,20.525357453107,-7000356041.16002,10825887058.69,1.019498225469,0.578401643779,-2.650871002375,,0.088210194711,,,,,,,,,121367898324.01,,,,,,,,,0
