期间,能繁母猪_万头,猪肉产量_万吨,生猪存栏_万头,生猪出栏_万头,日期
2009,4910.0,4932.85,47177.21,64465.0,2009-12-31
2010,4750.0,5138.44,46765.25,66700.0,2010-12-31
2011,4921.1,5131.65,47074.81,66170.0,2011-12-31
2012,5043.2,5443.55,48030.24,69628.0,2012-12-31
2013,5132.27,5618.6,47893.14,71557.0,2013-12-31
2014,4962.53,5820.8,47160.21,73515.0,2014-12-31
2015,4693.05,5645.41,45802.89,70825.0,2015-12-31
2016,4456.18,5425.49,44209.17,68502.0,2016-12-31
2017,4226.0,5451.8,44158.92,68861.0,2017-12-31
2018,3189.0,5403.74,42817.11,69382.0,2018-12-31
2019,3080.0,4255.31,31041.0,54419.0,2019-12-31
2020,4161.0,4113.33,40650.0,52704.0,2020-12-31
2021,4329.0,5296.0,44922.0,67128.0,2021-12-31
2022,4390.0,5541.0,45256.0,69995.0,2022-12-31
2023,4142.0,5794.0,43422.0,72662.0,2023-12-31
2024,4078.0,5706.0,42743.0,70256.0,2024-12-31
2025年一季度（末）,4039.0,1602.0,41731.0,19476.0,2025-03-31
2025年二季度（末）,4043.0,1418.0,42447.0,17143.0,2025-06-30
2025年7月,4042.0,,,,2025-07-31
2025年8月,4038.0,,,,2025-08-31
2025年三季度（末）,4035.0,1348.0,43680.0,16373.0,2025-09-30
2025年10月,3990.0,,,,2025-10-31
2026年一季度（末）,3904.0,,,,2026-03-31
2026年二季度（末）,3780.0,,,,2026-06-30
