date,open,close,high,low
2017-01-03,0.07,0.11,0.22,0.07
2017-01-04,0.13,0.2,0.21,0.12
2017-01-05,0.22,0.18,0.23,0.18
2017-01-06,0.18,0.19,0.24,0.15
2017-01-09,0.19,0.14,0.21,0.11
2017-01-10,0.17,0.23,0.24,0.16
2017-01-11,0.22,0.16,0.25,0.15
2017-01-12,0.16,0.11,0.18,0.11
2017-01-13,0.17,0.07,0.19,0.06
2017-01-16,0.06,0.01,0.1,-0.07
2017-01-17,0.02,0.04,0.07,-0.03
2017-01-18,0.04,0.12,0.17,0.02
2017-01-19,0.12,0.17,0.2,0.11
2017-01-20,0.18,0.24,0.25,0.18
2017-01-23,0.23,0.21,0.27,0.19
2017-01-24,0.23,0.31,0.34,0.2
2017-01-25,0.29,0.3,0.33,0.26
2017-01-26,0.32,0.26,0.34,0.26
2017-02-03,0.25,0.18,0.25,0.17
2017-02-06,0.18,0.22,0.32,0.17
2017-02-07,0.24,0.26,0.27,0.2
2017-02-08,0.26,0.23,0.26,0.2
2017-02-09,0.23,0.24,0.26,0.21
2017-02-10,0.24,0.29,0.32,0.23
2017-02-13,0.29,0.38,0.38,0.26
2017-02-14,0.38,0.32,0.38,0.32
2017-02-15,0.34,0.29,0.36,0.27
2017-02-16,0.27,0.33,0.34,0.27
2017-02-17,0.33,0.33,0.36,0.3
2017-02-20,0.34,0.56,0.59,0.34
2017-02-21,0.56,0.82,0.86,0.53
2017-02-22,0.84,0.82,0.85,0.71
2017-02-23,0.78,0.78,0.81,0.71
2017-02-24,0.79,0.83,0.94,0.75
2017-02-27,0.83,0.69,0.87,0.69
2017-02-28,0.74,0.76,0.81,0.67
2017-03-01,0.76,0.73,0.76,0.71
2017-03-02,0.73,0.74,0.79,0.69
2017-03-03,0.74,0.68,0.74,0.63
2017-03-06,0.67,0.76,0.78,0.67
2017-03-07,0.8,0.86,0.96,0.8
2017-03-08,0.83,0.76,0.89,0.73
2017-03-09,0.73,0.79,0.81,0.72
2017-03-10,0.79,0.86,0.91,0.76
2017-03-13,0.85,0.88,0.93,0.78
2017-03-14,0.87,0.83,0.89,0.79
2017-03-15,0.83,0.9,0.91,0.79
2017-03-16,0.89,1.01,1.04,0.89
2017-03-17,1.02,1.01,1.11,0.97
2017-03-20,0.99,1.19,1.25,0.98
2017-03-21,1.21,1.23,1.26,1.14
2017-03-22,1.23,1.36,1.42,1.19
2017-03-23,1.38,1.21,1.43,1.1
2017-03-24,1.21,1.18,1.29,1.11
2017-03-27,1.18,1.19,1.36,1.15
2017-03-28,1.19,1.15,1.27,1.11
2017-03-29,1.14,1.07,1.15,1.02
2017-03-30,1.05,1.14,1.14,1.01
2017-03-31,1.26,1.02,1.31,0.98
2017-04-05,1.02,1.06,1.11,0.93
2017-04-06,1.08,1.15,1.17,1.04
2017-04-07,1.16,1.09,1.17,1.07
2017-04-10,1.12,0.9,1.13,0.86
2017-04-11,0.88,0.97,0.97,0.72
2017-04-12,0.95,0.96,1.05,0.9
2017-04-13,0.97,0.92,1.02,0.89
2017-04-14,0.92,0.98,1.0,0.92
2017-04-17,0.98,0.81,0.99,0.74
2017-04-18,0.8,0.86,0.96,0.76
2017-04-19,0.82,0.88,0.95,0.79
2017-04-20,0.91,0.92,0.95,0.86
2017-04-21,0.94,1.08,1.12,0.92
2017-04-24,1.08,0.8,1.11,0.77
