期间截止日,年份,起始月份,截止月份,覆盖月数,销量_万头,销售收入_亿元,商品猪销售均价_元每公斤,收入反推平均重量_公斤每头,公告日期,公告标题,公告编码
2016-08-31,2016,8,8,1,33.6,5.79,18.05,95.46893549663632,2016-09-07,牧原股份:2016年8月份生猪销售简报,AN201609060017511185
2016-09-30,2016,9,9,1,25.6,4.62,17.55,102.83119658119658,2016-10-11,牧原股份:2016年9月份生猪销售简报,AN201610100021790371
2016-10-31,2016,10,10,1,27.2,4.25,15.71,99.45894334818587,2016-11-08,牧原股份:2016年10月份生猪销售简报,AN201611070072166670
2016-11-30,2016,11,11,1,30.9,4.74,16.26,94.34074923273504,2016-12-06,牧原股份:2016年11月份生猪销售简报,AN201612050159898442
2016-12-31,2016,12,12,1,47.2,8.11,16.95,101.36993150342484,2017-01-06,牧原股份:2016年12月份生猪销售简报,AN201701050241687932
2017-02-28,2017,1,2,2,80.7,12.99,17.21,93.53082088955802,2017-03-07,牧原股份:2017年1-2月份生猪销售简报,AN201703060387953872
2017-03-31,2017,3,3,1,43.4,6.7,15.77,97.8933926343258,2017-04-08,牧原股份:2017年3月份生猪销售简报,AN201704070483958294
2017-04-30,2017,4,4,1,40.0,6.27,15.02,104.36085219707057,2017-05-06,牧原股份:2017年4月份生猪销售简报,AN201705050557416633
2017-05-31,2017,5,5,1,52.7,7.19,13.46,101.36154351497584,2017-06-06,牧原股份:2017年5月份生猪销售简报,AN201706050626349561
2017-06-30,2017,6,6,1,78.2,9.19,13.26,88.62683377502093,2017-07-06,牧原股份:2017年6月份生猪销售简报,AN201707050694935073
2017-07-31,2017,7,7,1,71.1,8.66,13.63,89.36190850620116,2017-08-07,牧原股份:2017年7月份生猪销售简报,AN201708060779175377
2017-08-31,2017,8,8,1,78.6,9.93,14.07,89.79095796915097,2017-09-06,牧原股份:2017年8月份生猪销售简报,AN201709050857729735
2017-09-30,2017,9,9,1,79.3,10.64,14.17,94.6887951295786,2017-10-10,牧原股份:2017年9月份生猪销售简报,AN201710090940191619
2017-10-31,2017,10,10,1,61.5,8.82,13.91,103.10182181620522,2017-11-04,牧原股份:2017年10月份生猪销售简报,AN201711031005663690
