股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
002714,2018-12-31,按产品分类,生猪,13261601545.91,0.990547,11957667339.46,1.0,1303934206.45,1.0,0.098324
002714,2019-06-30,按产品分类,生猪,6804940785.32,0.950429,6509532035.46,1.0,295408749.86,1.0,0.043411
002714,2019-12-31,按产品分类,生猪,19627036862.66,0.97061,12355174297.89,1.0,7271862564.77,1.0,0.370502
002714,2020-06-30,按产品分类,生猪,20750264944.82,0.986564,7621282174.33,1.0,13128982770.49,1.0,0.632714
002714,2020-12-31,按产品分类,生猪,55105001071.85,0.979173,20891301492.38,0.944093,34213699579.47,1.001906,0.620882
002714,2021-06-30,按产品分类,生猪,39730890551.11,0.956496,26102677574.05,0.93553,13628212977.06,0.999393,0.343013
002714,2021-12-31,按产品分类,生猪,75076114955.15,0.951657,61951639425.11,0.943236,13124475530.04,0.993528,0.174816
002714,2022-06-30,按产品分类,生猪,42622491956.89,0.962836,46810683940.11,0.96583,-4188191983.22,0.997396,-0.098262
002714,2022-12-31,按产品分类,生猪,119744018933.43,0.959286,97687351297.58,0.94854,22056667635.85,1.00996,0.184198
002714,2023-06-30,按产品分类,生猪,50682711193.29,0.97713,50327215651.03,0.984244,355495542.26,0.482949,0.007014
002714,2023-09-30,按产品分类,生猪,80722886400.0,0.972932,77073987600.0,0.974015,3648898800.0,0.950608,0.045203
002714,2023-12-31,按产品分类,生猪,108224321673.98,0.976219,105060685687.09,0.978084,3163635986.89,0.918076,0.029232
002714,2024-03-31,按产品分类,生猪,25710637200.0,0.978631,26351996000.0,0.978574,-641358800.0,0.976294,-0.024945
002714,2024-06-30,按产品分类,生猪,56018094798.84,0.985088,51462402235.17,0.980912,4555692563.67,1.034845,0.081325
002714,2024-09-30,按产品分类,生猪,95356686200.0,0.985343,78508798100.0,0.980559,16847888100.0,1.008266,0.176683
002714,2024-12-31,按产品分类,生猪,136229329743.49,0.987549,110063927873.75,0.985648,26165401869.74,0.995625,0.192069
002714,2025-06-30,按产品分类,生猪,75445787925.2,0.9867,61321708867.39,0.990324,14124079057.81,0.971266,0.187208
002714,2025-09-30,按产品分类,生猪,109516048500.0,0.979659,89322197700.0,0.983124,20193850800.0,0.964619,0.184392
002714,2025-12-31,按产品分类,生猪,140207176872.34,0.972682,115970785673.49,0.978978,24236391198.85,0.943641,0.172861
