日期,开盘,收盘,最高,最低,成交量
2014-01-28,28.88,34.66,34.66,28.88,14352.0
2014-01-29,38.13,34.53,38.13,34.41,167086.0
2014-01-30,33.65,31.08,33.8,31.08,144359.0
2014-02-07,30.4,30.62,31.0,29.9,79994.0
2014-02-10,30.86,32.69,32.8,30.82,119384.0
2014-02-11,32.7,35.96,35.96,32.63,122426.0
2014-02-12,37.12,37.71,38.95,36.15,123965.0
2014-02-13,36.81,36.35,37.55,36.21,70488.0
2014-02-14,36.87,38.27,38.44,36.7,79267.0
2014-02-17,38.52,38.98,40.49,37.59,104754.0
2014-02-18,39.03,40.4,41.39,37.96,130489.0
2014-02-19,39.7,37.99,39.85,36.7,71848.0
2014-02-20,38.0,37.89,39.2,36.77,50532.0
2014-02-21,37.3,38.18,38.38,36.87,47469.0
2014-02-24,38.3,36.3,38.3,36.1,66176.0
2014-02-25,36.4,33.65,37.4,33.51,67153.0
2014-02-26,33.59,33.0,33.79,31.9,46972.0
2014-02-27,33.5,33.0,34.8,32.7,42619.0
2014-02-28,32.6,34.85,35.56,32.3,48251.0
2014-03-03,34.75,37.0,37.39,34.62,70555.0
2014-03-04,36.5,36.18,38.27,35.08,74068.0
2014-03-05,36.01,36.18,37.0,35.28,47530.0
2014-03-06,36.16,36.81,37.42,34.0,50566.0
2014-03-07,36.33,34.29,36.82,34.28,38134.0
2014-03-10,33.69,34.11,35.39,33.03,40231.0
2014-03-11,34.0,34.14,34.91,33.55,19811.0
2014-03-12,34.13,34.0,34.35,33.08,21494.0
2014-03-13,33.98,35.99,36.7,33.9,52604.0
2014-03-14,35.5,34.78,36.1,34.51,21420.0
2014-03-17,34.78,34.52,34.79,33.6,23541.0
2014-03-18,34.4,35.25,35.54,34.18,23944.0
2014-03-19,34.99,36.0,36.31,34.8,43905.0
2014-03-20,35.72,34.94,35.97,34.94,23330.0
2014-03-21,34.49,35.04,35.28,33.61,20152.0
2014-03-24,34.81,35.0,36.17,34.2,20885.0
2014-03-25,34.6,35.88,35.93,34.23,17856.0
2014-03-26,35.84,35.86,36.49,35.52,15833.0
2014-03-27,35.88,35.05,36.1,34.48,19383.0
2014-03-28,35.2,34.51,35.98,33.51,25603.0
2014-03-31,31.06,31.06,32.02,31.06,28758.0
2014-04-01,29.6,31.0,31.21,29.02,44112.0
2014-04-02,30.49,30.84,31.19,29.53,36142.0
2014-04-03,30.29,31.32,32.33,30.29,22403.0
2014-04-04,31.17,32.65,32.98,30.85,16455.0
2014-04-08,32.08,32.45,32.98,31.99,14063.0
2014-04-09,32.5,32.78,33.0,32.31,13724.0
2014-04-10,32.8,31.98,32.8,31.98,10451.0
2014-04-11,31.76,32.69,32.81,31.42,11802.0
2014-04-14,32.68,35.59,35.96,32.67,46083.0
2014-04-15,35.48,35.58,37.55,35.35,41841.0
2014-04-16,35.5,36.5,37.6,35.5,35169.0
2014-04-17,36.01,36.0,37.03,35.89,21291.0
2014-04-18,36.03,35.52,36.39,35.1,10909.0
2014-04-21,35.0,36.78,37.4,34.81,18958.0
2014-04-22,36.7,36.88,37.0,35.8,22987.0
2014-04-23,36.9,35.79,37.35,35.35,16918.82
2014-04-24,35.79,35.16,36.48,35.11,7461.0
2014-04-25,34.9,34.8,35.93,34.8,12371.0
2014-04-28,34.19,33.8,34.66,33.42,15803.0
2014-04-29,33.8,35.73,35.96,33.6,10088.0
2014-04-30,36.3,35.19,36.3,34.97,7214.0
2014-05-05,34.95,37.71,38.71,34.81,46411.0
2014-05-06,36.91,38.7,39.3,36.7,44634.0
2014-05-07,38.55,39.92,40.98,38.03,37468.0
2014-05-08,39.8,39.21,40.5,38.81,20708.0
2014-05-09,38.89,38.19,39.21,36.89,27163.0
2014-05-12,37.95,39.25,39.47,37.27,18136.0
2014-05-13,39.35,37.75,39.76,37.56,16914.0
2014-05-14,37.6,38.22,38.46,37.18,9544.0
2014-05-15,37.65,38.14,39.6,37.61,16247.0
2014-05-16,38.0,39.85,40.12,37.06,17189.0
2014-05-19,39.64,39.7,40.63,38.18,17471.0
2014-05-20,40.6,40.55,42.2,39.3,20443.0
2014-05-21,40.0,39.87,40.5,38.5,15001.0
2014-05-22,39.6,38.86,40.5,38.81,10967.0
2014-05-23,38.88,39.65,39.67,38.51,12857.0
2014-05-26,39.23,39.79,39.98,38.63,14889.0
2014-05-27,39.93,40.45,41.9,39.29,14142.0
2014-05-28,40.04,41.3,41.3,39.0,11082.0
2014-05-29,40.91,39.61,41.17,39.58,9396.0
2014-05-30,39.58,39.31,40.56,39.1,9854.0
2014-06-03,39.35,39.55,39.7,38.82,3933.0
2014-06-04,39.67,37.87,39.68,37.71,13554.0
2014-06-05,37.52,37.73,37.96,37.31,12557.0
2014-06-06,37.66,38.18,39.0,37.66,6748.0
2014-06-09,38.18,38.5,39.06,37.8,10532.0
2014-06-10,38.78,39.9,40.41,38.53,12157.0
2014-06-11,39.88,39.3,39.98,39.21,4509.0
2014-06-12,39.48,39.4,40.02,39.12,5256.0
2014-06-13,39.36,39.58,40.1,39.13,7857.0
2014-06-16,39.98,40.98,41.5,39.61,16234.0
2014-06-17,40.81,41.11,41.35,40.55,8165.0
2014-06-18,40.88,40.21,40.98,39.1,6658.0
2014-06-19,40.2,38.69,40.2,38.2,5695.0
2014-06-20,38.37,40.26,40.39,38.37,3555.0
2014-06-23,40.26,40.75,41.7,40.0,8305.0
2014-06-24,40.75,39.9,40.93,39.38,6291.0
2014-06-25,39.62,42.58,42.58,39.05,13858.0
2014-06-26,42.0,43.81,44.8,42.0,25892.0
2014-06-27,43.17,43.28,44.2,42.65,18636.0
2014-06-30,42.98,44.05,44.2,42.5,12530.0
2014-07-01,44.08,44.04,44.39,43.58,8716.0
2014-07-02,44.0,43.4,44.0,42.3,11471.0
2014-07-03,43.2,42.52,43.2,42.3,8771.0
2014-07-04,42.754,42.984,43.704,42.514,5498.0
2014-07-07,42.814,42.234,43.384,41.484,8240.0
2014-07-08,42.144,42.234,43.114,41.534,11297.0
2014-07-09,42.164,41.674,42.674,41.234,8400.0
2014-07-10,41.284,41.434,41.914,41.284,7331.0
2014-07-11,41.334,42.184,42.224,40.444,12914.0
2014-07-14,42.234,44.474,45.214,42.204,14015.0
2014-07-15,44.234,45.784,47.114,43.744,13835.0
2014-07-16,45.444,45.734,47.334,44.494,8640.0
2014-07-17,45.964,45.834,46.134,44.594,3098.0
2014-07-18,45.234,46.634,46.804,44.834,5211.0
2014-07-21,46.634,47.434,47.694,45.314,7428.0
2014-07-22,46.564,49.524,52.014,46.364,9867.0
2014-07-23,49.934,49.694,51.784,47.744,10491.0
2014-07-24,49.934,48.734,50.144,47.104,9646.0
2014-07-25,48.834,48.534,49.234,47.084,7542.0
2014-07-28,48.434,49.474,50.234,47.104,7441.0
2014-07-29,49.434,48.634,49.454,47.994,9678.0
2014-07-30,46.254,47.784,48.234,46.254,8799.0
2014-07-31,47.494,50.484,51.704,47.364,12615.0
2014-08-01,50.464,51.194,52.734,50.034,6932.0
2014-08-04,50.934,52.734,53.714,49.744,9853.0
2014-08-05,52.284,52.764,53.214,51.064,5013.0
2014-08-06,52.774,51.934,52.814,50.954,5668.0
2014-08-07,51.934,50.534,52.224,50.114,15916.0
2014-08-08,50.484,52.464,53.034,49.734,8171.0
2014-08-11,52.134,56.634,57.194,52.114,14060.0
2014-08-12,57.134,56.234,57.274,55.034,8179.0
2014-08-13,56.034,55.054,56.854,54.854,6655.0
2014-08-14,54.784,54.354,55.594,54.144,5495.0
2014-08-15,54.394,54.354,54.984,54.244,3919.0
2014-08-18,54.384,54.434,55.534,54.084,7265.0
2014-08-19,54.234,54.834,55.634,52.294,13920.0
2014-08-20,54.444,53.634,54.794,53.454,7555.0
2014-08-21,53.454,53.634,53.734,52.734,8690.0
2014-08-22,53.734,54.834,54.884,53.034,7541.0
2014-08-25,55.034,52.244,55.034,52.234,10871.0
2014-08-26,52.354,52.154,52.834,51.234,8750.0
2014-08-27,52.154,51.154,52.664,51.024,6392.0
2014-08-28,51.244,50.244,51.734,50.094,6827.0
2014-08-29,50.134,51.784,52.074,49.134,10157.0
2014-09-01,51.534,51.634,51.634,49.994,9854.0
2014-09-02,51.224,52.024,52.134,50.434,6018.0
2014-09-03,52.004,52.234,52.834,51.534,6332.0
2014-09-04,52.234,52.584,52.684,50.584,6988.0
2014-09-05,51.594,52.404,52.834,51.514,4703.0
2014-09-09,52.024,52.134,52.304,50.774,5227.0
2014-09-10,51.534,52.234,52.434,51.044,4585.0
2014-09-11,52.214,51.534,52.454,51.254,4880.0
2014-09-12,51.534,51.374,51.924,51.234,3925.0
2014-09-15,51.394,50.734,51.484,50.414,12000.0
2014-09-16,51.134,50.134,51.234,49.884,8806.0
2014-09-17,50.134,52.924,53.214,49.644,8711.0
2014-09-18,53.294,53.224,54.024,52.934,12241.0
2014-09-19,53.504,52.514,53.504,52.304,3461.0
2014-09-22,52.514,50.614,52.514,50.384,4847.0
2014-09-23,50.114,50.634,51.474,50.114,3852.0
2014-09-24,50.794,50.764,51.334,50.264,6029.0
2014-09-25,50.984,51.024,51.244,50.274,5380.0
2014-09-26,51.104,50.754,51.184,50.194,6322.0
2014-09-29,50.934,53.334,54.234,50.934,12758.0
2014-09-30,52.934,55.204,55.734,52.934,9931.0
2014-10-08,55.134,54.734,56.094,54.294,4395.0
2014-10-09,55.134,54.824,55.414,53.914,4035.0
2014-10-10,54.794,53.654,54.794,53.534,5527.0
2014-10-13,53.634,51.034,53.634,50.834,9936.0
2014-10-14,50.734,51.844,52.224,50.544,4692.0
2014-10-15,51.824,51.004,52.184,50.504,4877.0
2014-10-16,50.534,49.474,50.734,48.304,11147.0
2014-10-17,49.324,48.934,49.534,48.334,5823.0
2014-10-20,49.024,49.834,49.834,48.744,10105.0
2014-10-21,49.734,50.184,50.624,49.144,6597.0
2014-10-22,50.184,50.234,50.724,50.174,3642.0
2014-10-23,50.234,48.384,50.254,48.134,6268.0
2014-10-24,48.424,50.514,50.614,48.384,3993.0
2014-10-27,50.234,50.274,51.234,49.314,8113.0
2014-10-28,50.334,54.714,55.274,50.274,12360.0
2014-10-29,55.724,53.234,55.724,52.744,10927.0
2014-10-30,53.484,53.304,53.584,52.844,4869.0
2014-10-31,53.124,53.004,53.484,51.514,7488.0
2014-11-03,52.534,53.044,53.234,52.404,2982.0
2014-11-04,52.934,51.934,53.194,51.854,2741.0
2014-11-05,51.434,51.914,51.964,50.334,4562.0
2014-11-06,51.624,52.854,53.334,51.474,5150.0
2014-11-07,53.194,52.124,53.194,50.784,10861.0
2014-11-10,51.634,50.664,51.634,50.234,8363.0
2014-11-11,50.634,49.824,50.914,49.344,9460.0
2014-11-12,50.024,52.814,52.984,50.024,15832.0
2014-11-13,52.584,54.764,56.034,51.634,13292.0
2014-11-14,54.014,55.014,55.344,53.244,5611.0
2014-11-17,55.304,54.444,55.414,53.554,4093.0
2014-11-18,54.344,59.864,59.864,54.064,12688.0
2014-11-19,60.254,62.544,65.234,60.134,16518.0
2014-11-20,62.214,61.894,63.194,60.814,12880.0
2014-11-21,61.834,61.534,62.714,60.244,8512.0
2014-11-24,61.734,62.844,65.204,59.234,11909.0
2014-11-25,62.744,61.314,62.744,59.234,7022.0
2014-11-26,60.634,59.364,60.744,58.444,9877.0
2014-11-27,59.244,58.734,59.244,57.614,10906.0
2014-11-28,58.694,58.034,58.694,57.384,9593.0
2014-12-01,57.374,54.534,58.374,53.974,16534.0
2014-12-02,54.724,55.094,56.204,54.484,12873.0
2014-12-03,56.114,54.564,56.124,53.444,17435.0
2014-12-04,54.584,56.624,58.564,53.854,27705.0
2014-12-05,56.194,54.134,56.194,53.084,22380.0
2014-12-08,54.004,51.834,54.834,51.694,24075.0
2014-12-09,51.864,48.734,51.864,48.534,21751.0
2014-12-10,48.234,51.264,51.784,48.234,12914.0
2014-12-11,51.394,50.254,52.104,49.934,9498.0
2014-12-12,50.384,51.224,51.924,48.824,16832.0
2014-12-15,50.644,53.084,53.744,50.254,20423.0
2014-12-16,53.034,53.234,53.934,52.234,16092.0
2014-12-17,52.984,53.664,55.424,52.614,19232.0
2014-12-18,53.284,53.024,54.134,52.614,6360.0
2014-12-19,52.984,50.734,52.984,49.004,12604.0
2014-12-22,50.284,45.684,50.284,45.684,16998.0
