SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002714.SZ,002714,牧原股份,10182022,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-22 00:00:00,2026-04-22 00:00:00,CNY,30852082458.77,,,,,,,,,,,,,1653690747.12,,0.0,32505773205.89,27847064674.85,,,,,,4206356616.25,265794805.02,1106528394.34,,0.0,33425744490.46,,0.0,-919971284.57,10300232087.0,10348149.55,42606875.85,,,,,0.0,10353187112.4,4491282707.2,13643414320.06,,,,,,0.0,18134697027.26,,0.0,-7781509914.86,10613212956.19,,22878027919.98,,,,0.0,33491240876.17,23885829146.04,390855856.01,,,1227047715.86,,,0.0,25503732717.91,,0.0,7987508158.26,-60587948.66,,0.0,-774560989.83,12778056091.87,,0.0,12003495102.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.4375656848,,,,,,,,,,,,,38.5653126745,,,-15.7043411519,14.6700907149,,,,,,-15.9712241242,237.9970742305,-34.3933382517,,,7.6319175834,,,-112.2564530779,827.9488366667,981.7182813121,336.9369552991,,,,,,823.8078071906,56.662276085,139.358145966,,,,,,,111.6843785489,,,-4.5038219823,,,-19.7963253726,,,,,17.3932925024,20.3527196273,-39.656135588,,,-17.469692301,,,,16.0261523147,,,21.9826035269,-53200.1108663385,,,-111.7214712182,-0.5176943751,,,-38.293634427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002714.SZ,002714,牧原股份,10182022,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-28 00:00:00,2026-03-28 00:00:00,CNY,148839803701.86,,,,,,,,,,,,,6323915740.52,,0.0,155163719442.38,102345058514.61,,,,,,18783297476.77,375851675.83,3603324860.7,,0.0,125107532527.91,,0.0,30056186914.47,13002575509.55,96840789.49,1521106365.77,,,,,0.0,14620522664.81,9528929651.93,12336354700.0,,,,,,0.0,21865284351.93,,0.0,-7244761687.12,1053327078.64,4900000.0,61905167582.58,,4404040.1,,0.0,62962898701.32,67951896717.96,10344664907.19,209575064.56,,7544287772.69,,,0.0,85840849397.84,,0.0,-22877950696.52,29947.96,,0.0,-66495521.21,12844551613.08,,0.0,12778056091.87,15811817543.45,72086229.07,14480075075.67,14474076239.39,5998836.28,32057648.99,10696376.09,,,,-352470392.6,985740168.25,207706.3,2680797810.38,-102171232.13,-39477240.89,-39477240.89,,,4720313808.18,1161694222.19,-10416539467.22,167871025.29,,0.0,30056186914.47,,,,,12778056091.87,12844551613.08,,,,,-66495521.21,6.6405402315,,,,,,,,,,,,,-13.833738612,,,5.6177089551,17.8919261938,,,,,,3.0814408981,64.8798583299,-12.226824357,,,14.3917299677,,,-19.9421093025,-35.0964848752,118.0710425307,1008.3845188648,,,,,,-27.676113334,-23.0341597365,-41.442836732,,,,,,,-34.6554211034,,,45.3067361019,3.267360651,-99.5196078431,-9.1485490961,,78.4707376447,,,-8.9623115353,-7.6847098037,25.3005683382,-82.314844896,,-39.7694931908,,,,-9.0573288694,,,9.3178069771,215.8301253874,,,92.8640722321,-6.7640440754,,,-0.5176943751,-16.4503036931,459.4877705416,1.4914371195,1.4921069161,-0.0993168788,7.6740886357,-6.7009229654,,,,-5929.4288177754,3.2244715292,231.4596835443,-18.5080703691,-2.542106369,-26.0873813764,-26.0873813764,,,9193.2887875308,-51.9098672264,-243.4887743581,190.6328441287,,,-19.9421093025,,,,,-0.5176943751,-6.7640440754,,,,,92.8640722321,标准无保留意见,,,,815680912.4,1.9205369156
002714.SZ,002714,牧原股份,10182022,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,115157711555.67,,,,,,,,,,,,,4735625492.61,,0.0,119893337048.28,73888145524.9,,,,,,14248313551.33,255775509.54,2921559615.04,,0.0,91313794200.81,,0.0,28579542847.47,8439999000.0,78837808.05,62362528.19,,,,,0.0,8581199336.24,7286587136.74,9793929000.0,,,,,,0.0,17080516136.74,,0.0,-8499316800.5,1053327078.64,4900000.0,45890206969.26,,4180000.0,,0.0,46947714047.9,52921389518.98,4963784283.57,209575064.56,,4718801597.27,,,0.0,62603975399.82,,0.0,-15656261351.92,219797.7,,0.0,4424184492.75,12844551613.08,,0.0,17268736105.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.787151862,,,,,,,,,,,,,-36.3306482916,,,13.0614632351,25.336799931,,,,,,7.6042636963,51.7150884337,-35.1208093591,,,18.7980182222,,,-2.0506329739,20.7836484108,402.4783476911,-34.1442382299,,,,,,20.8945627803,-28.3175052432,2.1105040922,,,,,,,-13.5887659427,,,32.9096309905,,,-14.705733572,,221.3849656067,,,-12.742297434,-10.5078421526,56.4914515202,-82.314844896,,-21.8355933177,,,,-8.398948855,,,-7.6723723691,934.6524118593,,,124.7217812625,-6.7640440754,,,9.6766710659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002714.SZ,002714,牧原股份,10182022,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-21 00:00:00,2025-08-21 00:00:00,CNY,78524590695.1,,,,,,,,,,,,,2777270558.34,,0.0,81301861253.44,51016445085.92,,,,,,9903330778.18,154582442.74,2876693007.2,,0.0,63951051314.04,,0.0,17350809939.4,7059999000.0,69075127.3,36733629.44,,,,,0.0,7165807756.74,5225824186.32,7871429000.0,,,,,,0.0,13097253186.32,,0.0,-5931445429.58,,,36075357971.08,,4180000.0,,0.0,36079537971.08,35504785868.34,4404721758.77,209575064.56,,4033130757.35,,,0.0,43942638384.46,,0.0,-7863100413.38,196061.28,,0.0,3556460157.72,12844551613.08,,0.0,16401011770.8,10790266620.34,2029601.99,7303374445.31,7300372045.28,3002400.03,14966633.7,5129780.39,,,,-2832460.46,256233608.35,-4691165.51,1490157310.7,-67005251.73,-27284611.72,-27284611.72,,,2805173342.86,-580926790.87,-5044455209.25,-3736011.35,,0.0,17350809939.4,,,,,16401011770.8,12844551613.08,,,,,3556460157.72,35.573464483,,,,,,,,,,,,,-32.0401279409,,,31.1173203862,49.0008623162,,,,,,17.2617126068,36.0948495088,-22.9805675989,,,37.4312344831,,,12.1300261475,200.0807157734,1046.2085024211,-38.3331340709,,,,,,196.3166180655,-12.9024145126,186.5985436009,,,,,,,49.6200470974,,,6.3758700653,,,-14.5075088047,,221.3849656067,,,-14.5002382298,-22.9204437109,119.2923719535,-70.4964266434,,63.3407364182,,,,-13.0542219622,,,5.7393660453,2696.4809584938,,,346.4632063904,-6.7640440754,,,12.543994601,952.9249740795,-89.419497091,4.1060155137,4.1077735478,0.0,1.0266736825,-14.1611150892,,,,33.0276080368,47.5655023889,-249.9733219309,-12.7565744013,-765.0791851689,-33.840832946,-33.840832946,,,41.5803898702,-384.6223964038,-272.4635422679,-109.0706792003,,,12.1300261475,,,,,12.543994601,-6.7640440754,,,,,346.4632063904,,,,,409233705.37,2.5403506181
002714.SZ,002714,牧原股份,10182022,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2026-04-22 00:00:00,CNY,37368184107.8,,,,,,,,,,,,,1193437748.02,,0.0,38561621855.82,24284505664.24,,,,,,5005852545.64,78638196.98,1686609811.95,,0.0,31055606218.81,,0.0,7506015637.01,1110000000.0,956639.98,9751263.96,,,,,0.0,1120707903.94,2866856539.71,5700000000.0,,,,,,0.0,8566856539.71,,0.0,-7446148635.77,0.0,,28524912388.71,,4180000.0,,0.0,28529092388.71,19846522139.26,647714328.24,77788403.66,,1486784370.58,,,0.0,21981020838.08,,0.0,6548071550.63,114101.36,,0.0,6608052653.23,12844551613.08,,0.0,19452604266.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1474410616,,,,,,,,,,,,,-36.7998190464,,,34.1579673654,55.5468184653,,,,,,15.9440766637,39.8652314346,-54.3001606455,,,31.1654535079,,,48.1417520445,32.6640372894,-78.5596862944,67.3797692906,,,,,,32.3169031785,-40.4253840227,291.3491246138,,,,,,,36.6605640906,,,-37.339135614,-100.0,,1.5717215761,,318.0,,,1.5567309105,-18.8510392863,-45.4021030189,-85.2110356288,,216.5522460159,,,,-15.8231941607,,,230.9011491464,20932.8208873471,,,306.9210274607,-6.7640440754,,,26.3130845534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002714.SZ,002714,牧原股份,10182022,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-20 00:00:00,2026-03-28 00:00:00,CNY,139571501962.38,,,,,,,,,,,,,7339201723.1,,0.0,146910703685.48,86812610344.77,,,,,,18221803375.2,227954875.53,4105268875.49,,0.0,109367637470.99,,0.0,37543066214.49,20033700000.0,44407908.71,137236341.71,,,,,0.0,20215344250.42,12380725812.0,21067200000.0,,,,13586560.0,,0.0,33461512372.0,,0.0,-13246168121.58,1020000000.0,1020000000.0,68138887124.71,,2467653.89,,0.0,69161354778.6,73608496028.66,8255880276.03,1185033794.32,,12525691999.56,,,0.0,94390068304.25,,0.0,-25228713525.65,-25855.07,,0.0,-931841287.81,13776392900.89,,0.0,12844551613.08,18925044904.25,12884326.14,14267287454.63,14261282654.57,6004800.06,29772853.8,11464610.83,,,,-5845833.88,954948137.44,-158000.0,3289648217.34,-99638320.05,-31309430.38,-31309430.38,,,-51909863.62,2415660251.26,-3032570565.57,57760514.23,,0.0,37543066214.49,,,,,12844551613.08,13776392900.89,,,,,-931841287.81,23.4902167252,,,,,,,,,,,,,25.5689551719,,,23.5779499664,2.5598083008,,,,,,8.5195223749,18.7985440141,-44.215778789,,,0.3481602529,,,279.4982433383,626.0223137243,178.2519617295,136.4050121975,,,,,,613.4687281669,-27.2395062898,593.8038082278,,,,,,,66.8719975485,,,23.0715437876,-4.5434857972,-0.9708737864,-4.8995149523,,-97.0838934143,,,-5.001439269,37.931067577,6.5670451077,0.0051012346,,47.5296011396,,,,35.6109764166,,,-888.6515534637,99.6235207763,,,77.4585257504,-23.0811275895,,,-6.7640440754,554.0700531175,-93.6366192723,12.7325747546,12.7451222069,-10.8348861931,13.4765762765,67.0957626491,,,,-157.7361787181,152.0505095676,,-2.3920280783,-1659.5674203872,-758.4628939224,-758.4628939224,,,98.662658034,284.0822625415,-316.2760275372,-83.4468302665,,,279.4982433383,,,,,-6.7640440754,-23.0811275895,,,,,77.4585257504,标准无保留意见,,,,800310650.91,-5.3781211435
002714.SZ,002714,牧原股份,10182022,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-31 00:00:00,CNY,98604777768.48,,,,,,,,,,,,,7437841544.7,,0.0,106042619313.18,58951677053.79,,,,,,13241402396.05,168589368.52,4503076543.0,,0.0,76864745361.36,,0.0,29177873951.82,6987700000.0,15689792.09,94695629.53,,,,,0.0,7098085421.62,10165085857.38,9591500000.0,,,,9959920.0,,0.0,19766545777.38,,0.0,-12668460355.76,0.0,,53802217770.38,,1300620.89,,0.0,53803518391.27,59135225691.21,3171920405.46,1185033794.32,,6037020937.74,,,0.0,68344167034.41,,0.0,-14540648643.14,-26334.04,,0.0,1968738618.88,13776392900.89,,0.0,15745131519.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.674643356,,,,,,,,,,,,,61.03914945,,,18.9549991543,-11.1964549287,,,,,,4.389086746,18.1458821859,38.7526286942,,,-6.7821724544,,,336.270364905,492.6802374894,529.0359123125,98.8303417769,,,,,,477.4929959993,-26.5640746413,377.6405557492,,,,,,,24.7083697479,,,13.3549152563,-100.0,,-1.3309642092,,-98.4446338717,,,-3.336185002,56.2696432599,-55.3785688868,0.0051012346,,-18.4634081786,,,,30.5414907016,,,-539.8140263202,99.616511651,,,142.4860578669,-23.0811275895,,,18.5944986384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002714.SZ,002714,牧原股份,10182022,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-03 00:00:00,2025-08-21 00:00:00,CNY,57920324596.39,,,,,,,,,,,,,4086633000.02,,0.0,62006957596.41,34239026736.4,,,,,,8445493893.98,113584344.52,3735022341.14,,0.0,46533127316.04,,0.0,15473830280.37,2352700000.0,6026401.58,59567855.26,,,,,0.0,2418294256.84,5999964473.27,2746500000.0,,,,7210880.0,,0.0,8753675353.27,,0.0,-6335381096.43,,,42197106981.77,,1300620.89,,0.0,42198407602.66,46062519788.23,2008606920.31,710337903.91,,2469151814.66,,,0.0,50540278523.2,,0.0,-8341870920.54,7011.0,,0.0,796585274.4,13776392900.89,,0.0,14572978175.29,1024789694.04,19182471.83,7015324147.48,7012321747.45,3002400.03,14814536.75,5976056.65,,,,-4229295.65,173640589.57,3128000.0,1708045391.93,-7745562.82,-20385865.15,-20385865.15,,,1981329014.16,204104384.69,2924940044.09,41187779.52,,0.0,15473830280.37,,,,,14572978175.29,13776392900.89,,,,,796585274.4,9.7444816603,,,,,,,,,,,,,7.8447245941,,,9.5901401631,-26.2356331283,,,,,,-1.5562881717,6.8807713605,48.051457376,,,-19.248121532,,,1582.1080438728,269.9213836478,331.3713377414,267.2357410163,,,,,,269.9860772685,-37.20317027,247.3065250379,,,,,,,-15.385541251,,,34.6311838545,,,-3.4059546101,,-95.9883794973,,,-5.6887843357,64.606176535,4.7478605616,-0.3573884271,,-66.0795544238,,,,35.9330339308,,,-210.2910297434,100.1021242938,,,125.0565698105,-23.0811275895,,,-1.0736723415,136.7410302401,,14.796816408,14.8149564374,-16.1458305433,19.5599451958,123.8620085855,,,,-499.7023724973,37.3735181574,,2.3520339082,-323.0466276021,-1116.7039768141,-1116.7039768141,,,150.2596589429,-90.5204524139,158.0508420998,-81.9054354355,,,1582.1080438728,,,,,-1.0736723415,-23.0811275895,,,,,125.0565698105,,,,,399095285.81,-8.128559635
002714.SZ,002714,牧原股份,10182022,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-25 00:00:00,CNY,26855099758.0,,,,,,,,,,,,,1888345460.43,,0.0,28743445218.43,15612344825.72,,,,,,4317471568.78,56224264.01,3690625253.33,,0.0,23676665911.84,,0.0,5066779306.59,836700000.0,4461874.92,5825831.88,,,,,0.0,846987706.8,4812211531.17,1456500000.0,,,,,,0.0,6268711531.17,,0.0,-5421723824.37,7261300.0,,28083517681.98,,1000000.0,,0.0,28091778981.98,24456902423.3,1186335672.35,525989526.43,,469680562.78,,,0.0,26112918658.43,,0.0,1978860323.55,-547.7,,0.0,1623915258.07,13776392900.89,,0.0,15400308158.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2258905424,,,,,,,,,,,,,13.1925752278,,,9.4546314431,-35.4009835985,,,,,,-1.3768254599,9.8040471416,143.226484421,,,-21.3775824766,,,231.4751078927,195.6537102473,588.1317541208,-45.0406150915,,,,,,187.8476066059,18.5683931893,414.6643109541,,,,,,,44.3872755343,,,-33.9574778602,-99.2813368156,,6.9424779732,,-98.7669668229,,,2.7050887167,77.3976543935,1.4201955351,-12.3978940505,,-78.8581608898,,,,52.0156935066,,,-80.5500361859,99.9920682328,,,-28.3375736412,-23.0811275895,,,-23.6714936982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002714.SZ,002714,牧原股份,10182022,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-03-20 00:00:00,CNY,113022315178.98,,,,,,,,,,,,13927483.36,5844758135.52,,0.0,118881000797.86,84645839128.46,,,,,,16791267576.95,191883560.04,7359193668.69,,0.0,108988183934.14,,0.0,9892816863.72,2759378000.0,15959603.1,58051367.2,,,,,0.0,2833388970.3,17015725403.56,3036478000.0,,,,,,0.0,20052203403.56,,0.0,-17218814433.26,1068549389.76,1030000000.0,71649358139.98,,84621525.91,,0.0,72802529055.65,53366146816.45,7747123200.88,1184973346.05,,8490290696.11,,,0.0,69603560713.44,,0.0,3198968342.21,-6867595.44,,0.0,-4133896822.77,17910289723.66,,0.0,13776392900.89,-4167868982.84,202476115.94,12655869419.9,12649134947.41,6734472.49,26237003.95,6861102.07,,,,10125079.3,378871734.51,,3370265924.57,6388843.39,-3647150.11,-3647150.11,,,-3881569930.51,-1312272142.85,1402176006.33,348939297.79,,0.0,9892816863.72,,,,,13776392900.89,17910289723.66,,,,,-4133896822.77,-11.2873065295,,,,,,,,,,,,-92.358681901,38.0018826885,,,-9.8157813203,-6.7524009694,,,,,,13.2131394521,7.2884743685,143.3697424189,,,0.1640968538,,,-57.0074747498,804.7140983607,1590.3374982548,27.2937282239,,,,,,705.9740074084,8.1124152295,460.9084695668,,,,,,,23.1687478263,,,-8.0991685182,-89.0108439143,-41.8079096045,7.6182846487,,,,,-4.5850671932,-16.9404754998,84.8612214909,231.9253070168,,56.0960934251,,,,-5.7888761195,,,32.1574071146,-1191.1047040504,,,-143.5008102186,113.0337234364,,,-23.0811275895,-127.9097112361,,13.0955548079,13.1050659358,-2.3308467014,8.9508985266,469.782755639,,,,351.7546842166,85.5711086128,,7.6402055989,113.6246083281,45.5975995994,45.5975995994,,,-2.7961814715,-86.9265952474,137.6085711641,-58.6958456479,,,-57.0074747498,,,,,-23.0811275895,113.0337234364,,,,,-143.5008102186,标准无保留意见,,,,845798731.31,-7.6667269825
