猪价_元每公斤,单位成本_元每公斤,预测归母净利润_亿元,PE法目标价_元
11.0,9.0,104.50500055190008,20.370767620979354
11.0,9.5,56.50500055190008,11.014307732522553
11.0,10.0,8.505000551900082,1.6578478440657518
11.0,10.5,-39.49499944809992,
11.0,11.0,-87.49499944809992,
11.0,11.5,-135.49499944809992,
11.0,12.0,-183.49499944809992,
11.0,12.5,-231.49499944809992,
11.0,13.0,-279.4949994480999,
11.0,13.5,-327.4949994480999,
12.0,9.0,200.50500055190008,39.08368739789295
12.0,9.5,152.50500055190008,29.727227509436158
12.0,10.0,104.50500055190008,20.370767620979354
12.0,10.5,56.50500055190008,11.014307732522553
12.0,11.0,8.505000551900082,1.6578478440657518
12.0,11.5,-39.49499944809992,
12.0,12.0,-87.49499944809992,
12.0,12.5,-135.49499944809992,
12.0,13.0,-183.49499944809992,
12.0,13.5,-231.49499944809992,
13.0,9.0,296.5050005519001,57.79660717480657
13.0,9.5,248.50500055190008,48.440147286349756
13.0,10.0,200.50500055190008,39.08368739789295
13.0,10.5,152.50500055190008,29.727227509436158
13.0,11.0,104.50500055190008,20.370767620979354
13.0,11.5,56.50500055190008,11.014307732522553
13.0,12.0,8.505000551900082,1.6578478440657518
13.0,12.5,-39.49499944809992,
13.0,13.0,-87.49499944809992,
13.0,13.5,-135.49499944809992,
14.0,9.0,392.5050005519001,76.50952695172018
14.0,9.5,344.5050005519001,67.15306706326336
14.0,10.0,296.5050005519001,57.79660717480657
14.0,10.5,248.50500055190008,48.440147286349756
14.0,11.0,200.50500055190008,39.08368739789295
14.0,11.5,152.50500055190008,29.727227509436158
14.0,12.0,104.50500055190008,20.370767620979354
14.0,12.5,56.50500055190008,11.014307732522553
14.0,13.0,8.505000551900082,1.6578478440657518
14.0,13.5,-39.49499944809992,
15.0,9.0,488.5050005519001,95.22244672863377
15.0,9.5,440.5050005519001,85.86598684017697
15.0,10.0,392.5050005519001,76.50952695172018
15.0,10.5,344.5050005519001,67.15306706326336
15.0,11.0,296.5050005519001,57.79660717480657
15.0,11.5,248.50500055190008,48.440147286349756
15.0,12.0,200.50500055190008,39.08368739789295
15.0,12.5,152.50500055190008,29.727227509436158
15.0,13.0,104.50500055190008,20.370767620979354
15.0,13.5,56.50500055190008,11.014307732522553
16.0,9.0,584.5050005519001,113.93536650554739
16.0,9.5,536.5050005519001,104.57890661709058
16.0,10.0,488.5050005519001,95.22244672863377
16.0,10.5,440.5050005519001,85.86598684017697
16.0,11.0,392.5050005519001,76.50952695172018
16.0,11.5,344.5050005519001,67.15306706326336
16.0,12.0,296.5050005519001,57.79660717480657
16.0,12.5,248.50500055190008,48.440147286349756
16.0,13.0,200.50500055190008,39.08368739789295
16.0,13.5,152.50500055190008,29.727227509436158
17.0,9.0,680.5050005519001,132.648286282461
17.0,9.5,632.5050005519001,123.29182639400419
17.0,10.0,584.5050005519001,113.93536650554739
17.0,10.5,536.5050005519001,104.57890661709058
17.0,11.0,488.5050005519001,95.22244672863377
17.0,11.5,440.5050005519001,85.86598684017697
17.0,12.0,392.5050005519001,76.50952695172018
17.0,12.5,344.5050005519001,67.15306706326336
17.0,13.0,296.5050005519001,57.79660717480657
17.0,13.5,248.50500055190008,48.440147286349756
18.0,9.0,776.5050005519001,151.3612060593746
18.0,9.5,728.5050005519001,142.0047461709178
18.0,10.0,680.5050005519001,132.648286282461
18.0,10.5,632.5050005519001,123.29182639400419
18.0,11.0,584.5050005519001,113.93536650554739
18.0,11.5,536.5050005519001,104.57890661709058
18.0,12.0,488.5050005519001,95.22244672863377
18.0,12.5,440.5050005519001,85.86598684017697
18.0,13.0,392.5050005519001,76.50952695172018
18.0,13.5,344.5050005519001,67.15306706326336
19.0,9.0,872.5050005519001,170.0741258362882
19.0,9.5,824.5050005519001,160.7176659478314
19.0,10.0,776.5050005519001,151.3612060593746
19.0,10.5,728.5050005519001,142.0047461709178
19.0,11.0,680.5050005519001,132.648286282461
19.0,11.5,632.5050005519001,123.29182639400419
19.0,12.0,584.5050005519001,113.93536650554739
19.0,12.5,536.5050005519001,104.57890661709058
19.0,13.0,488.5050005519001,95.22244672863377
19.0,13.5,440.5050005519001,85.86598684017697
