季度,季度均价_元每公斤,季末价格_元每公斤,季内最高_元每公斤,季内最低_元每公斤,交易日数,报告日期,猪价环比_%,猪价同比_%,四季均线,猪周期阶段,报告期,单季营业收入,单季归母净利润,营收同比_%,归母净利润同比_%,毛利率_%,净利率_%,摊薄ROE_%,单季经营现金流,单季自由现金流,单季营业收入_亿元,单季归母净利润_亿元,单季经营现金流_亿元,单季自由现金流_亿元,季末后复权收盘价,季内最高价,季内最低价,股价季度收益_%,股价年度收益_%
2015Q1,12.871538461538462,12.23,13.57,12.07,13,2015-03-31,,,,观察期,一季度,499900045.93,-20194850.1,11.3202050861,63.7567192105,2.505581794196,-4.039777604427,-1.0419786873,123618756.2,-264220240.84000003,4.9990004593,-0.201948501,1.236187562,-2.6422024084,73.734,77.734,42.334,66.69078084731201,137.39214423696075
2015Q2,13.761538461538462,15.27,15.27,12.42,13,2015-06-30,6.914480368134823,,13.316538461538462,上行期,二季度,624826424.72,67027330.81,-0.6900325388,370.9466162722,17.277900424646,10.727352134641,3.4299811872,-99049605.63,-454471456.54,6.2482642472,0.6702733081000001,-0.9904960562999999,-4.5447145654000005,117.775,117.775,69.434,59.72956844874822,167.36662883087402
2015Q3,17.672307692307694,17.63,18.52,15.87,13,2015-09-30,28.41811067635551,,14.768461538461539,上行期,三季度,821479215.66,232164584.41,23.4379581871,179.1854158035,33.91820803721,28.26177217685,11.074571839,412643008.13,-102844351.98999989,8.2147921566,2.3216458441,4.1264300813,-1.0284435198999988,89.295,160.295,64.295,-24.18170239864148,61.7545830012318
2015Q4,16.77230769230769,16.52,17.63,16.24,13,2015-12-31,-5.092713502219914,,15.269423076923077,高位震荡,四季度,1057269036.48,316853776.44,22.7910745325,308.8505905716,32.200678138032,29.969077454014,11.0508607118,478191919.72999996,-62111727.44000012,10.5726903648,3.1685377644,4.7819191973,-0.6211172744000012,94.435,127.255,90.115,5.756201355059076,113.48962336664106
2016Q1,18.39769230769231,19.89,19.89,16.94,13,2016-03-31,9.690882406897838,42.9331261578916,16.650961538461537,上行期,一季度,912227007.83,367957213.87,82.4818811795,1922.0348853691,46.066344504493,40.336145576888,9.928730883,128962410.74,-736521762.93,9.1222700783,3.6795721387,1.2896241073999999,-7.365217629299999,121.595,126.275,79.295,28.76052311113464,64.91035343260911
2016Q2,20.512307692307694,19.87,21.16,19.87,13,2016-06-30,11.49391646109461,49.05533817775294,18.338653846153846,上行期,二季度,1372077629.87,704471682.02,119.5934063584,951.0215362998,54.895561055927,51.343427418662,16.6062863524,620298002.38,-404378467.44000006,13.720776298699999,7.0447168202,6.2029800238,-4.0437846744,101.355,127.895,92.335,-16.645421275545868,-13.94183825090215
2016Q3,18.504615384615384,17.91,19.04,17.91,13,2016-09-30,-9.78774469361735,4.709671802907622,18.54673076923077,下行期,三季度,1615850532.64,689503851.42,96.7001114376,196.9892471637,46.634676019127,42.671264296548,14.2225610073,523204484.86,-610424622.6199998,16.1585053264,6.8950385141999995,5.2320448486,-6.104246226199997,98.721,118.561,96.841,-2.598786443688028,10.556022173693936
2016Q4,16.803846153846152,17.28,17.37,15.97,13,2016-12-31,-9.19105420685069,0.1880388919464293,18.554615384615385,下行期,四季度,1705751832.75,559965964.91,61.3356462636,76.7269341718,37.196372824475,32.828102784872,10.4054553184,10004907.379999876,-1328094318.6000001,17.0575183275,5.5996596490999995,0.10004907379999876,-13.280943186000002,94.121,103.201,91.401,-4.659596235856611,-0.3325038386191581
2017Q1,17.147692307692306,15.97,18.25,15.85,13,2017-03-31,2.046234836347005,-6.794330392607783,18.242115384615385,低位筑底,一季度,1967844689.37,680036371.42,115.7187490043,84.8139799374,40.465642594738,34.557420872361,11.3311700997,344713694.38,-1138575692.1399999,19.6784468937,6.8003637141999995,3.4471369438,-11.385756921399999,109.801,116.881,91.081,16.659406508643148,-9.699411982400585
2017Q2,14.395384615384616,13.56,15.96,12.95,13,2017-06-30,-16.050601112506723,-29.82074551863797,16.712884615384613,下行期,二季度,2262810990.17,520231897.68,64.9185833883,-26.152901393,29.045363623615,22.990514892316,6.7330712441,499488813.31000006,-692164202.7099999,22.6281099017,5.2023189768,4.994888133100001,-6.921642027099999,109.881,115.361,92.601,0.072859081429133,8.412017167381979
2017Q3,14.081538461538461,14.43,14.54,13.65,13,2017-09-30,-2.180185957037517,-23.902560691719323,15.607115384615383,低位筑底,三季度,2926483223.15,611943589.79,81.1110102101,-11.2487060762,27.097184840733,20.910544948599,6.4979262868,656008769.1199999,-959175296.0500002,29.2648322315,6.1194358979,6.560087691199999,-9.591752960500003,152.045,175.725,107.801,38.372421073706995,54.01484993061252
2017Q4,14.420769230769231,14.94,14.94,14.19,13,2017-12-31,2.409046214355959,-14.181734950789638,15.011346153846153,低位筑底,四季度,2885277028.57,553317505.1,69.1498712282,-1.1872971264,25.886067930197,19.177274820444,4.9271146785,286924707.3200002,-1699309985.2400002,28.8527702857,5.533175051000001,2.8692470732000017,-16.993099852400004,215.205,229.325,150.925,41.540333453911686,128.64716694467765
2018Q1,13.35,10.22,15.2,10.22,12,2018-03-31,-7.425188030084817,-22.14695855015252,14.061923076923078,下行期,一季度,2755526839.54,136037497.74,40.0276584034,-79.9955556118,13.065803716508,4.936896124108,1.0624088029,-214193686.61,-2085484679.9499998,27.5552683954,1.3603749774,-2.1419368661,-20.8548467995,184.885,255.285,172.965,-14.088891986710351,68.38189087531077
2018Q2,10.61153846153846,11.48,11.51,10.0,13,2018-06-30,-20.512820512820518,-26.285134124185117,13.115961538461537,下行期,二季度,2757427943.87,-214693225.3,21.8585182699,-141.2687546184,-0.36134270352,-7.785995850854,-1.7362092888,32135228.620000005,-722488477.1300002,27.5742794387,-2.146932253,0.32135228620000006,-7.224884771300002,181.605,230.765,172.085,-1.7740757768342497,65.2742512354274
2018Q3,13.268461538461539,13.89,14.32,11.43,13,2018-09-30,25.03805726712578,-5.774063148694408,12.912692307692307,上行期,三季度,3668475274.41,428846509.9,25.3543927876,-29.9205813975,17.461356959071,11.690047712506,3.5521012746,902287695.41,105582698.2700001,36.684752744099995,4.288465099,9.0228769541,1.055826982700001,185.805,209.421,153.405,2.3127116544148008,22.20395277713836
