经营指标,猪价领先季度数,Pearson相关系数,Spearman相关系数,样本数,相关强度
毛利率,0,0.7971924389550136,0.7882740447957837,45,强
毛利率,1,0.621895209221223,0.6053558844256518,44,中等
毛利率,2,0.3943544400102031,0.32618544246451225,43,弱
毛利率,3,0.19497698318260753,0.1579288550360587,42,很弱
毛利率,4,-0.09968985370219363,-0.10243902439024392,41,很弱
净利率,0,0.7892472037524672,0.7849802371541501,45,强
净利率,1,0.6001669272583843,0.5894291754756871,44,中等
净利率,2,0.3710819481979278,0.30141951072183626,43,弱
净利率,3,0.17663604449553158,0.14026416011668422,42,很弱
净利率,4,-0.11956591238479945,-0.11114982578397214,41,很弱
归母净利润,0,0.6346734504683599,0.648353096179183,45,中等
归母净利润,1,0.5091017201381224,0.48062015503875966,44,中等
归母净利润,2,0.33845802385607765,0.2390516460283902,43,弱
归母净利润,3,0.21272430889286628,0.18936877076411962,42,弱
归母净利润,4,-0.019510918911849487,-0.009930313588850177,41,很弱
营收同比,0,0.8021776243392499,0.7077733860342555,45,强
营收同比,1,0.7025871482187996,0.5902748414376321,44,强
营收同比,2,0.5808190513379129,0.42071881606765327,43,中等
营收同比,3,0.365132314448387,0.20654728141965806,42,弱
营收同比,4,0.015288490884873876,-0.07038327526132405,41,很弱
经营现金流,0,0.36118408815863956,0.5100131752305666,45,弱
经营现金流,1,0.25102974040161,0.30401691331923886,44,弱
经营现金流,2,0.1260182542225911,0.14466928420416791,43,很弱
经营现金流,3,0.1688119815019884,0.1830483753342517,42,很弱
经营现金流,4,0.022349796976652025,0.06846689895470384,41,很弱
