驱动指标,季度位移,关系说明,Pearson相关系数,Spearman相关系数,样本数,相关强度
猪价环比,-4,股价领先猪价环比4季,0.07177375110939956,0.10052264808362371,41,很弱
猪价环比,-3,股价领先猪价环比3季,0.3369757605516904,0.1253545093590471,42,弱
猪价环比,-2,股价领先猪价环比2季,0.2142548894124623,-0.009060706735125339,43,弱
猪价环比,-1,股价领先猪价环比1季,0.15392861607780847,0.18477801268498942,44,很弱
猪价环比,0,同期,0.09569557341511434,0.1481324876673714,44,很弱
猪价环比,1,猪价环比领先股价1季,0.1581266520033683,0.15372999093929327,43,很弱
猪价环比,2,猪价环比领先股价2季,0.26125399642180114,0.07381897739243173,42,弱
猪价环比,3,猪价环比领先股价3季,-0.21443407004640022,-0.14599303135888506,41,弱
猪价环比,4,猪价环比领先股价4季,-0.0751984659552243,0.020637898686679177,40,很弱
猪价同比,-4,股价领先猪价同比4季,0.41933696178849844,0.19703832752613243,41,中等
猪价同比,-3,股价领先猪价同比3季,0.39180623458777436,0.23449477351916376,41,弱
猪价同比,-2,股价领先猪价同比2季,0.23266858360966428,0.17351916376306623,41,弱
猪价同比,-1,股价领先猪价同比1季,0.3005609246258362,0.20836236933797914,41,弱
猪价同比,0,同期,0.1873685658301863,0.10836236933797913,41,很弱
猪价同比,1,猪价同比领先股价1季,0.08351736697288631,0.01988742964352721,40,很弱
猪价同比,2,猪价同比领先股价2季,0.03098964758491299,0.10242914979757085,39,很弱
猪价同比,3,猪价同比领先股价3季,-0.026590286140332736,0.12331764963343911,38,很弱
猪价同比,4,猪价同比领先股价4季,0.0008286666866944522,0.1417733522996681,37,很弱
营收同比,-4,股价领先营收同比4季,0.36091149524382893,0.3684668989547039,41,弱
营收同比,-3,股价领先营收同比3季,0.18418859603296442,0.21027469410906738,42,很弱
营收同比,-2,股价领先营收同比2季,0.06564532459422368,0.04243430987617034,43,很弱
营收同比,-1,股价领先营收同比1季,0.12171726970100624,0.1818181818181818,44,很弱
营收同比,0,同期,-0.010695193074763697,0.08629776021080368,45,很弱
营收同比,1,营收同比领先股价1季,-0.029255783468443722,0.022973925299506693,44,很弱
营收同比,2,营收同比领先股价2季,0.02482866917208552,-0.0006040471156750226,43,很弱
营收同比,3,营收同比领先股价3季,-0.07552614034832125,-0.022931691110931046,42,很弱
营收同比,4,营收同比领先股价4季,-0.07537023040328046,0.0869337979094077,41,很弱
毛利率,-4,股价领先毛利率4季,0.4013355270918672,0.3045296167247387,41,中等
毛利率,-3,股价领先毛利率3季,0.3657488550246608,0.33684466412770436,42,弱
毛利率,-2,股价领先毛利率2季,0.2350984771302233,0.2173059498640894,43,弱
毛利率,-1,股价领先毛利率1季,0.12296397702042501,0.15616631430584918,44,很弱
毛利率,0,同期,-0.05969586653916508,0.059947299077733864,45,很弱
毛利率,1,毛利率领先股价1季,-0.0024164035469980624,0.041014799154334036,44,很弱
毛利率,2,毛利率领先股价2季,0.055152736506866876,0.019782543038356994,43,很弱
毛利率,3,毛利率领先股价3季,-0.12572225829207642,-0.0905113037841342,42,很弱
毛利率,4,毛利率领先股价4季,-0.04323835263676538,0.029268292682926838,41,很弱
