报告日期,报告期,财务状态,评分,状态摘要,营业收入,归母净利润,营收同比_%,归母净利润同比_%,加权ROE_%,毛利率_%,净利率_%,资产负债率_%,流动比率,速动比率,经营现金流,自由现金流
2026-03-31,2026一季报,风险关注,-7,资产负债率50.7%；营收同比-17.1%；归母净利润亏损,29893668691.43,-1214841304.35,-17.103041649084,-127.050001641392,-1.57,5.1719220171,-4.0883239353,50.7311648406,0.913249625634,0.310397707216,-919971284.57,-5411253991.7699995
2025-12-31,2025年报,改善,5,营收同比+4.5%；保持盈利；净利润同比-13.4%；流动比率0.78,144144965371.68,15486891254.04,4.493086579548,-13.390382815587,20.57,17.8181110801,10.9693859253,54.1507623811,0.781442055689,0.249122065994,30056186914.47,20527257262.54
2025-09-30,2025三季报,稳健,7,营收同比+15.5%；保持盈利；流动比率0.79,111790004878.72,14778904957.09,15.515225864648,41.00570971054,19.26,18.7266588517,13.5183134093,55.4981008,0.788478380256,0.312947479037,28579542847.47,21292955710.730003
2025-06-30,2025中报,稳健,7,营收同比+34.5%；保持盈利；流动比率0.79,76462752679.74,10530051098.42,34.461021791281,1169.76978464802,13.79,19.0183089106,14.1117946218,56.0568289677,0.793307937143,0.306771708143,17350809939.4,12124985753.080002
2025-03-31,2025一季报,稳健,6,营收同比+37.3%；保持盈利；流动比率0.80,36061237090.13,4491095122.49,37.260843450401,288.787798453605,6.06,19.798678089,12.8095911848,59.1991598142,0.796113040458,0.334046820923,7506015637.01,4639159097.3
2024-12-31,2024年报,稳健,7,营收同比+24.4%；保持盈利；流动比率0.72,137946892076.87,17881260485.27,24.432605595238,519.424880483707,25.1,20.7528226326,13.7190803064,58.6801191432,0.7173736882,0.226363501817,37543066214.49,25162340402.489998
2024-09-30,2024三季报,稳健,7,营收同比+16.6%；保持盈利；流动比率0.75,96775125566.31,10481068452.78,16.640585510597,668.903090565041,15.36,17.266585911,11.6203947991,58.3826957279,0.748901039099,0.277790037777,29177873951.82,19012788094.440002
2024-06-30,2024中报,改善,2,营收同比+9.6%；保持盈利；毛利率仅7.7%；流动比率0.68,56866110089.83,829288208.44,9.634151581321,129.83890830859,1.3,7.7415066802,1.8021097142,61.8077530023,0.682654645312,0.246282675966,15473830280.37,9473865807.1
2024-03-31,2024一季报,风险关注,-4,营收同比+8.6%；资产负债率63.6%；归母净利润亏损；净利润同比-98.6%,26272049758.43,-2378911751.33,8.569810095538,-98.564622717603,-3.86,-2.5004982841,-9.3589480511,63.58957872,0.663277730116,0.261762338863,5066779306.59,254567775.42000008
2023-12-31,2023年报,风险关注,-7,资产负债率62.1%；经营现金流为正；营收同比-11.2%；归母净利润亏损,110860727714.4,-4263280820.31,-11.18794219555,-132.136518337683,-6.38,3.1083520676,-3.7595540538,62.1110899927,0.671703401579,0.228736590952,9892816863.72,-7122908539.84
2023-09-30,2023三季报,风险关注,-5,营收同比+2.7%；资产负债率59.7%；归母净利润亏损；净利润同比-221.8%,82968655500.72,-1842329322.27,2.717616977271,-221.823088543615,-2.68,4.6264352079,-2.0239506454,59.6505965098,0.702164302876,0.221935688916,6688025660.0,-7154090181.440001
2023-06-30,2023中报,风险关注,-4,营收同比+17.2%；净利润同比+58.4%；归母净利润亏损；ROE -3.9%,51868974466.09,-2779217657.24,17.171288615377,58.417329527418,-3.89,1.4191398455,-5.3774422842,60.0585038003,0.710266009722,0.225003703838,-1044041987.65,-10598607877.47
2023-03-31,2023一季报,风险关注,-4,营收同比+32.4%；净利润同比+76.9%；归母净利润亏损；ROE -1.7%,24198301291.41,-1198054174.39,32.392802298751,76.872569612898,-1.67,1.8829680174,-4.9610729679,56.3683404278,0.794139094469,0.304763458094,-3853793609.91,-7912389161.16
2022-12-31,2022年报,稳健,8,营收同比+58.2%；保持盈利；流动比率0.80,124826212177.74,13266156512.39,58.228440839786,92.15793300987,21.01,17.4956464077,11.963353154,54.3552905128,0.800570656917,0.31121283617,23010550801.93,7271631855.91
2022-09-30,2022三季报,承压,0,营收同比+43.5%；保持盈利；净利润同比-82.6%；流动比率0.66,80773540062.83,1512298977.39,43.516260415864,-82.625772942856,2.7,8.4597142834,2.259646321,61.4654808921,0.655865570409,0.221399979938,9859427608.05,-1753869549.9300003
2022-06-30,2022中报,风险关注,-7,营收同比+6.6%；经营现金流为正；归母净利润亏损；净利润同比-170.2%,44267648738.04,-6683595896.21,6.571538093054,-170.161762933139,-12.81,-9.4857678442,-16.6893154036,66.4820304364,0.573507177531,0.192362665819,190418586.16,-7781130516.5
2022-03-31,2022一季报,风险关注,-10,营收同比-9.3%；归母净利润亏损,18277656240.56,-5180230377.25,-9.301463236913,-174.395760617926,-9.85,-23.0337891362,-31.5104460073,65.1833835116,0.598287952983,0.204419601027,-58213007.43,-5972480268.690001
2021-12-31,2021年报,改善,2,营收同比+40.2%；保持盈利；净利润同比-74.9%；流动比率0.62,78889870566.4,6903777691.92,40.181208302723,-74.850928644695,12.91,16.7448308474,9.6825904359,61.2987204377,0.623183880726,0.182495643506,16295026813.82,-19557307542.96
2021-09-30,2021三季报,改善,3,营收同比+43.7%；保持盈利；净利润同比-58.5%；流动比率0.71,56281803768.28,8704266223.85,43.70597549773,-58.527075389878,16.24,24.121675307,17.2607618342,57.7700936222,0.709717214038,0.197562184418,13293165491.84,-14931116341.48
2021-06-30,2021中报,改善,3,营收同比+97.5%；保持盈利；净利润同比-11.7%；流动比率0.64,41537965511.38,9525980558.07,97.490860143088,-11.665879544326,17.23,32.8289672002,26.8747075954,53.0913613576,0.644536659109,0.146933042926,13198018566.5,-9123010187.48
2021-03-31,2021一季报,稳健,6,营收同比+149.7%；保持盈利；流动比率0.84；自由现金流为负,20152096045.72,6963072000.64,149.717954232835,68.540589915859,12.72,45.8801099887,39.9430414996,48.0686849504,0.841174014364,0.25842124999,4755828247.31,-9735685648.14
2020-12-31,2020年报,稳健,6,营收同比+178.3%；保持盈利；流动比率0.89；自由现金流为负,56277065607.85,27451421940.73,178.305425898578,348.96613048257,74.43,60.6794746805,53.9736206003,46.0925394585,0.894428967839,0.408035781553,23185751195.99,-22885036348.359997
2020-09-30,2020三季报,稳健,7,营收同比+233.8%；保持盈利；自由现金流为负,39164553577.78,20987828337.83,233.790078239107,1413.2768496683,63.47,64.6667440798,58.9349672684,43.3407115884,1.142285048689,0.733179711453,19100181559.33,-12587484367.269997
2020-06-30,2020中报,稳健,7,营收同比+193.8%；保持盈利；自由现金流为负,21032854624.91,10784032839.1,193.760502844588,7026.07784749466,37.84,62.3967926354,55.9031378326,45.3721680959,1.154812517435,0.798750672512,11140610724.95,-6848703009.719997
2020-03-31,2020一季报,稳健,7,营收同比+164.8%；保持盈利；自由现金流为负,8069942791.11,4131391734.25,164.752406585923,863.746556338057,16.41,64.5286475735,56.3188768092,42.3487656878,1.231749858862,0.85405771578,4384756332.22,-3419907608.04
2019-12-31,2019年报,稳健,7,营收同比+51.0%；保持盈利；自由现金流为负,20221332525.64,6114363662.85,51.038948001607,1075.3671426472,35.28,35.9530805934,31.3355120366,40.0385387996,1.078331298244,0.683916450227,9988895350.91,-3131704921.7299995
2019-09-30,2019三季报,改善,5,营收同比+27.8%；保持盈利；流动比率0.84；自由现金流为负,11733288713.79,1386912668.52,27.793694880859,296.044881379387,10.29,18.7441049971,12.3957649988,46.1901909677,0.84270312421,0.404127289496,4725830823.95,-1131675008.2700005
2019-06-30,2019中报,风险关注,-5,营收同比+29.9%；资产负债率57.0%；归母净利润亏损；净利润同比-98.0%,7159864726.96,-155701871.63,29.873452771752,-97.953634732102,-1.28,4.0842454625,-2.0888717987,57.01096182,0.583958961276,0.196865563078,1411089485.19,-1914540653.42
2019-03-31,2019一季报,风险关注,-7,营收同比+10.6%；资产负债率57.7%；归母净利润亏损；净利润同比-497.6%,3048109324.17,-540937526.98,10.618023400521,-497.638545229537,-4.5,-10.2247194455,-18.268429691,57.7180086018,0.681713361262,0.236134206995,-130492019.72,-1695867520.55
2018-12-31,2018年报,改善,2,营收同比+33.3%；保持盈利；净利润同比-78.0%；流动比率0.72,13388157685.94,520208830.16,33.31610418829,-78.00877731306,2.84,9.8154856473,3.9443739151,54.0657524111,0.719822356886,0.292027567722,1357659325.5,-3689639775.79
2018-09-30,2018三季报,承压,1,营收同比+28.3%；保持盈利；净利润同比-80.7%；流动比率0.80,9181430057.82,350190782.34,28.28352478068,-80.676057237894,2.81,10.7895340912,3.814120242,55.5463530581,0.804749531327,0.2695980974,720229237.42,-2702390458.81
2018-06-30,2018中报,风险关注,-5,营收同比+30.3%；资产负债率53.7%；归母净利润亏损；净利润同比-106.6%,5512954783.41,-78655727.56,30.309701403292,-106.553178950484,-0.63,6.3499153772,-1.426743564,53.6987020255,0.747672988407,0.278167865026,-182058457.99,-2807973157.08
2018-03-31,2018一季报,承压,0,营收同比+40.0%；保持盈利；净利润同比-80.0%；流动比率0.93,2755526839.54,136037497.74,40.027658403376,-79.995555611836,1.06,13.0658037165,4.9368961241,51.5853497364,0.925639675545,0.446607231797,-214193686.61,-2085484679.9499998
2017-12-31,2017年报,稳健,6,营收同比+79.1%；保持盈利；自由现金流为负,10042415931.26,2365529363.99,79.139895216324,1.879093671932,28.12,29.807787682,23.5553812965,47.0293079802,1.050359099956,0.546948615991,1787135984.13,-4489225176.14
2017-09-30,2017三季报,改善,5,营收同比+83.5%；保持盈利；流动比率0.85；自由现金流为负,7157138902.69,1812211858.89,83.509080795523,2.853633979887,22.93,31.3887613177,25.3203393637,48.777895091,0.850716818942,0.328245072482,1500211276.81,-2789915190.9
2017-06-30,2017中报,稳健,7,营收同比+85.2%；保持盈利；自由现金流为负,4230655679.54,1200268269.1,85.205406044254,11.920545380671,16.8,34.3573854535,28.3707387227,47.590217362,1.001745536861,0.413372117768,844202507.69,-1830739894.85
2017-03-31,2017一季报,改善,3,营收同比+115.7%；保持盈利；流动比率0.65；自由现金流为负,1967844689.37,680036371.42,115.718749004274,84.813979937422,11.33,40.4656425947,34.5574208724,56.7913241141,0.645256857716,0.150990241843,344713694.38,-1138575692.1399999
2016-12-31,2016年报,改善,5,营收同比+86.6%；保持盈利；流动比率0.72；自由现金流为负,5605907003.09,2321898712.22,86.64738412989,289.677843894795,50.74,45.692228211,41.4187875564,56.2191107626,0.71586574298,0.211808617779,1282469805.36,-3079419171.59
2016-09-30,2016三季报,稳健,6,营收同比+100.4%；保持盈利；流动比率0.74；自由现金流为负,3900155170.34,1761932747.31,100.3978920509,531.5237569084,40.39,49.4079318852,45.1759653234,53.3065270881,0.741294401359,0.296516462319,1272464897.98,-1751324852.9899998
2016-06-30,2016中报,改善,5,营收同比+103.1%；保持盈利；流动比率0.64；自由现金流为负,2284304637.7,1072428895.89,103.098681973748,2189.9254526592,26.43,51.3696522681,46.947717839,50.4536178901,0.640842218546,0.255997952992,749260413.12,-1140900230.37
2016-03-31,2016一季报,改善,5,营收同比+82.5%；保持盈利；流动比率0.76；自由现金流为负,912227007.83,367957213.87,82.48188117945,1922.03488536912,9.93,46.0663445045,40.3361455769,51.4065277787,0.759082262191,0.36628936376,128962410.74,-736521762.93
2015-12-31,2015年报,稳健,6,营收同比+15.3%；保持盈利；流动比率0.87；自由现金流为负,3003474722.79,595850841.56,15.307007689399,642.974181727167,26.53,24.6235173966,19.838716705,50.1664067921,0.870297619229,0.470077826109,915404078.43,-883647776.8100001
2015-09-30,2015三季报,改善,4,营收同比+11.6%；保持盈利；流动比率0.67；自由现金流为负,1946205686.31,278997065.12,11.611479665407,10235.585588062,13.41,20.5072528658,14.335435719,60.6384824136,0.674265529266,0.236437882139,437212158.7,-821536049.3699999
2015-06-30,2015中报,改善,2,营收同比+4.3%；保持盈利；流动比率0.72；自由现金流为负,1124726470.65,46832480.71,4.31201962608,158.207027320468,2.38,10.7121415894,4.1638995731,61.6596544918,0.724178593333,0.233222493153,24569150.57,-718691697.38
2015-03-31,2015一季报,风险关注,-2,营收同比+11.3%；净利润同比+63.8%；归母净利润亏损；ROE -1.0%,499900045.93,-20194850.1,11.320205086087,63.756719210454,-1.04,2.5055817942,-4.0397776044,55.4902122977,0.793071727923,0.273718176026,123618756.2,-264220240.84000003
2014-12-31,2014年报,承压,1,营收同比+27.4%；保持盈利；净利润同比-73.6%；毛利率仅7.7%,2604763390.34,80198054.82,27.409502040111,-73.604254690883,4.27,7.7346806646,3.0788998002,52.7050248672,0.91564286848,0.288071785454,455384506.87,-279419096.65
2014-09-30,2014三季报,改善,2,营收同比+48.4%；保持盈利；净利润同比-98.2%；毛利率仅6.8%,1743732537.32,2699383.24,48.412084428399,-98.16837099127,0.16,6.7599290979,0.1548048902,51.966373606,1.105757537836,0.304232748589,129492722.03,-313947682.40999997
2014-06-30,2014中报,风险关注,-4,营收同比+44.0%；资产负债率51.4%；归母净利润亏损；净利润同比-206.5%,1078232858.19,-80458465.01,43.973839047532,-206.45822962017,-4.54,-0.4475028843,-7.4620676229,51.4104876311,1.241161577091,0.434974306903,-53255775.39,-285083571.98
2014-03-31,2014一季报,风险关注,-2,营收同比+49.9%；资产负债率49.4%；归母净利润亏损；净利润同比-291.2%,449064970.32,-55720259.48,49.905273147004,-291.183009567106,-3.33,-3.9459814417,-12.4080618981,49.3710067671,1.379093699249,0.502275951536,9199185.29,-163314024.05
2013-12-31,2013年报,改善,3,营收同比+37.1%；保持盈利；净利润同比-8.0%；流动比率0.91,2044402771.09,303829476.61,37.131259787041,-7.988419025555,27.04,19.8153274863,14.8615273324,61.1434675854,0.90974213106,0.160467334588,120861512.74,-536178105.43999994
2013-09-30,2013三季报,承压,-1,营收同比+22.1%；保持盈利；净利润同比-24.8%；资产负债率66.0%,1174926249.46,147376091.29,22.076806700715,-24.769861341878,,19.669153215,12.5434333736,66.0273377346,0.929317465523,0.164761529505,-234458945.55,-808958218.8700001
2013-06-30,2013中报,承压,-1,保持盈利；ROE 7.3%；资产负债率66.2%；流动比率0.95,748908874.92,75577496.73,,,7.35,15.8072726822,10.0916812794,66.2091053901,0.949923068962,0.305289777314,-119536136.69,-549719570.4300001
2013-03-31,2013一季报,改善,2,保持盈利；ROE 2.8%；自由现金流为负,299565826.4,29144985.01,,,2.8,18.6476559297,9.7290753622,,,,6212069.53,-261369461.1
2012-12-31,2012年报,改善,5,营收同比+31.4%；保持盈利；净利润同比-7.4%；自由现金流为负,1490836425.09,330207864.48,31.435818944298,-7.410349443116,37.95,28.0693543475,22.1491680055,52.0044367146,1.085079282468,0.31760127774,406498277.69,-177945880.39000005
2012-09-30,2012三季报,改善,2,保持盈利；经营现金流为正,962448380.83,195900331.86,,,,,20.3543728435,,,,191390187.2,
2011-12-31,2011年报,稳健,7,营收同比+155.2%；保持盈利；自由现金流为负,1134269514.25,356635825.38,155.168605993952,316.584503458394,61.86,38.5352848154,31.4418946202,51.0427516873,1.150114182264,0.371315815701,178094261.6,-227124736.26000002
2010-12-31,2010年报,改善,4,营收同比+3.7%；保持盈利；净利润同比-9.3%；自由现金流为负,444517659.15,85609479.57,3.685955469586,-9.268475161673,27.27,21.9080257995,19.2589603153,54.3561426694,1.00199659266,0.530407508143,89814974.41,-132495108.31
2009-12-31,2009年报,改善,5,保持盈利；ROE 43.5%；自由现金流为负,428715400.4,94354723.7,,,43.5,27.6859147465,22.0087087172,50.2305461941,1.139489519454,0.506378301651,61724494.59,-40825620.66
